str,zh_CN,en_US
app_name,小米商城,Xiaomi shop
home,首页,Home
category,分类,Category
service,服务,Service
shopping_car,购物车,Shopping car
user,用户,User
best_selling_good,热销甄选,Hot selling selection
more_phone_recommend,更多手机推荐 >, More mobile phone recommendations
phone,手机,Phone
click_search,点击搜索,Click to search
worry_free_discount,省心优惠,Worry free discount
all_discounts_available,全部优惠,All discounts available
yuan_money,¥{count},¥{count}
language_default,默认,Default
language_zh_cn,中文,中文
language_en_us,English(US),English(US)